column_group,R2(mlr),R2(rf),R2(svr),RMSE(mlr),RMSE(rf),RMSE(svr)
bands,0.614,0.69,0.442,6.89,6.52,7.555
savi,0.357,0.558,0.434,7.831,7.116,7.578
b1-blue-green+11,0.665,0.73,0.415,6.647,6.295,7.637
