algorithm,column_group,R2(1-1),R2(1-2),R2(1-3),R2(1-4),R2(1-5),R2(1-6),R2(1-7),R2(1-8),R2(1-9),R2(1-10),RMSE(1-1),RMSE(1-2),RMSE(1-3),RMSE(1-4),RMSE(1-5),RMSE(1-6),RMSE(1-7),RMSE(1-8),RMSE(1-9),RMSE(1-10)
ann_savi_only,bands,0.684,0.674,0.693,0.69,0.652,0.709,0.65,0.653,0.686,0.639,6.5,6.545,6.627,6.413,6.905,6.713,6.334,6.722,6.625,6.684
ann_savi,bands,0.795,0.763,0.747,0.745,0.755,0.762,0.759,0.748,0.722,0.736,5.935,6.075,6.154,6.193,6.052,6.274,6.328,6.247,6.208,6.154
