algorithm,column_group,R2(1-1),R2(1-2),R2(1-3),R2(1-4),R2(1-5),R2(1-6),R2(1-7),R2(1-8),R2(1-9),R2(1-10),RMSE(1-1),RMSE(1-2),RMSE(1-3),RMSE(1-4),RMSE(1-5),RMSE(1-6),RMSE(1-7),RMSE(1-8),RMSE(1-9),RMSE(1-10)
ann_simple,bands,0.706,0.735,0.554,0.735,0.589,0.537,0.728,0.206,0.694,0.664,6.488,6.505,7.334,6.446,6.921,7.104,6.163,7.961,6.592,6.489
ann_simple,savi,0.568,0.471,0.457,0.554,0.514,0.492,0.49,0.423,0.436,0.508,7.195,7.786,7.237,7.036,7.242,7.439,7.384,7.545,7.441,7.499
ann_simple,b1-blue-green+11,0.721,0.735,0.709,0.706,0.685,0.531,0.803,0.716,0.774,0.693,6.281,6.406,6.621,6.198,6.394,7.082,6.051,6.406,6.15,6.382
